ef,erikfoss
tv,terjvern
tij,tom.ivar.johansen
pak,perakarl
lea,larsaalb
pm,petter.muren
krr,kjerunde
efo,einafodn
baa,baalerud
tep,torepede
sh,stian.hagberg
lem,lmobaek
nlc,nils.corneliusen
sao,stig.olsen
fg,fgloerse
cha,carl.aaby
ko,kotnes
jos,jarstaur
mcl,marliaae
gas,geirsand
tel,tomlia
asa,annaalbu
sm,stemidts
pjj,paul.jorstad
gmm,geir.morten.mellem
or,ottar.roed
chm,cmckaytian.moengen
tfm,trygve.marton
hd,hdahle
akm,andreas.mortvedt
labuser,labuser
hsa,halsagen
tms,tor.marius.sollie
mka,monaande
tgr,tore.gravermoen
gsn,geirnils
jan,jonordal
fv,frank.veum
reception,reception
kgaratun,kgaratun
fjo,frode.johnsen
aha,anders.haugen
rso,rune.solheim
lhi,lars.hiim
rsk,roaskoma
tsc,thies.schrader
tov,tovergaa
dbl,davbruun
tb,tobbrodt
mre,magnus.rekkedal
jtk,jankorne
mlu,michellh
tlp,thierry.le.pennec
eha,egil.hasting
fai,farinkha
ifa,ingvar.flaaten.aarnes
nhl,nils.henrik.lorentzen
jwe,janwegge
aka,andreas.kaljord
hbe,havard.beyer
afu,arilfuld
jsc,jochschi
lgj,larsgjul
tab,thomas.berger
ert,erlend.taarnes
obe,ola.berg
bwi,bwinsvol
ssu,siv.sundnes
oas,oddaskaf
pfl,paulflat
tfa,tore.fageraas
bfjo,bjornar.fjoren
tri,torrings
ngr,ngrodum
tjo,torjohan
ada,axdahl
ebe,espeberg
kjl,knlarsen
nsk,nina.sartz-lunde
anr,anders.ronningen
wju,wiljuul
ohe,oyvind.henriksen
tgl,torgeir.lien
sma,smastber
jps,jensstan
oli,olof.lindstrom
jma,johan.malmstigen
bma,borander
cam,cmckaytina.amador
jln,johaniel
aho,anne.horve
ijo,ivar.johnsrud
hgb,henribak
ae,avollenw
lbe,larberge
eho,espholmb
mcoffey,mucoffey
poo,per.otto.opstad
aik,arnt.ivar.kristiansen
tha,tohalvor
kes,knut.egil.sundt
jchansombat,jchansom
ng,niegylli
kek,kjell.erik.klevan
gch,giles.chamberlain
cbr,colbradb
gad,gradams2
sgr,stgray2
bho,benhoc
rhb,rhallam2
tkr,trond.arild.krokaas
mah,matahnof
hla,hellange
lcm,leimarcu
hs,helskavl
gaa,geir.aasen
gen,gisensta
oha,oyvhanse
ato,andreas.tonnesen
vha,vegarasp.hammer
kko,krikonst
tmo,tormorin
oma,olvmauda
ggr,geir.gronbeck
rbo,roboe
jowens,jorowens
gbj,gisle.bjontegaard
gko,geokohma
oga,olegaut
hsd,hardankw
bsa,bsalberg
gasp,garasp.asp
rfo,robefoll
tni,thomas.nielsen
lgb,lbjonnes
jba,johnbas
lsh,liasharp
vas,vigdis.asbjornsen
fbo,flobochu
tfl,toreflet
smu,stimurbe
sse,stiaseln
lkl,larkleme
mbu,marbugge
gebj,geibjune
sbv,svenvull
tsk,torskome
mho,mattheho
eah,einar.andreas.hagen
rsc,ruud.schramp
mst,michael.stuurman
tvdg,tom.vandergeer
hmu,hanimust
jak,jankrokn
ekn,elisknut
kih,knuhvids
tki,tomkrist
pvdm,pvdm
pem,pal-erik.martinsen
vfr,viggfred
rra,ronrande
zfe,zsuzfey
obr,ovebryne
nhb,nils.harald.berge
ams,anne.marit.schroder
skj,stein.kjolstad
tan,trondand
eco,egil.osthus
fdv,fredvibe
hagr,hgrotter
stm,saima.mughal
est,elistokk
jag,johngumb
mkt,markth2
pal,petlives
jpe,johapers
lgu,largunde
dha,davihami
jeb,jesseba
cco,crcocker
cfo,cecilie.foss
gbe,gustav.bernhard.ese
oah,ole.andreas.heen
hei,hareiler
taf,tforeid
hve,hansverk
ob,objorsta
tka,tako.kampstra
mel,mathijn.elhorst
htw,hendrik.te.winkel
eml,eoimcleo
poh,phusoy
jol,jorolsen
tis,trond.isaksen
dhu,dhunt
jke,jasonke
jmo,jermould
ani,ailenich
jta,joatarno
wdi,werner.dierssen
and,andonkin
tro,terje.ronningen
she,steinar.helleso
dko,derick.kong
pms,per.morten.sandstad
aeh,alfhegg
nko,niek.kooij
cno,cmckaytian.nordahl
kio,kristian.ivar.oien
mha,martin.hartog
mda,mugunthan.dahrmadas
hkv,halkveda
jdahl,jdahlbac
kjo,knutjoha
tak,torkvanl
nlo,nlovhaug
jda,john.daae
jli,jamlitti
tva,tvasset
ale,arne.leithe
twi,thomas.wiehe
dgo,dangonz2
mhe,morhella
jry,jorgen.ryland
ksm,kjetil.smith
vpr,valery.pryamikov
bsk,beint.skjevesland
fol,freoleda
oar,oravnas
hch,henning.cmckaytiansen
tlu,tomludvi
mba,michel.bais
nmo,nicolmoo
wla,woulamme
jmd,julidurd
rba,ragnbart
mae,mathijn.elhorst
vbu,valbuzun
awa,andywatk
hls,hege.leite.storvold
the,therenge
benth,bent.haughem
frankh,frank.gjerde
ogr,ogrimsta
oja,oyvind.janbu
okh,oystein.k.hansen
ped,peter.edgar
pga,paugammo
ave,anca.vermesan
tfn,thomas.nicolaisen
obi,obirkene
kaa,kjeaamod
gha,ghakonse
kvo,kathvolk
ftj,ftjontve
rbe,rolf.berg
asabil,alisabil
lau,laraurda
lpe,larendre
ahe,arild.hegvik
boa,baugesta
csm,csmith4
hsp,haaspors
ptm,paumacke
imo,ivmossin
cpa,cmckaytopher.parmo
mfo,marfolle
bkv,birgitte.kvarme
des,dag.smorgrav
jwa,josh.watson
pwe,petter.wedum
jjo,jorgen.johanson
rfr,rfroysa
koa,kosteras
emo,espemobe
tvt,tron.tronstad
mro,marrogne
ses,syvensta
foa,finn.ole.arnesen
tvj,tonjjeva
rkl,robert.klingholz
tflo,torunnfl
mlad,manilad
gva,gjervall
mdi,marit.ditlevsen
hgr,hgraff
rus,runesch
pra,premara
jbe,jarl.berentsen
dmc,danmcca
jean,jensand
iwa,ian.walters
kmh,knutheie
swa,sunwalaw
jaa,jorunn
jpa,japatel2
mhest,mohestne
dst,darren.starr
meh,mohestne
pgu,petgusta
jca,jasocatc
jbain,jbain
ein,einglis
tojo,tjosenda
esh,eamonsha
ksa,kristisa
ssa,stigsand
gte,greteigr
jbr,juergen.ryannel
jpr,jamperre
tgu,thomas.gulbrandsen
ask,skjorten
aqv,andreas.qvenild
obre,obredvei
ana,anaess
ket,ketisamu
shi,hight
aba,amubasmo
ath,atherkel
ttr,tortrett
atho,adamth
sbe,sveiberg
kpe,kenneth.pedersen
mhalv,maghalvo
kir,karl.inge.roll
dpe,daneriks
sbj,skjalg.bjorndal
ian,ianmorti
dre,danremme
toh,thaukeli
tkarl,trkarlse
opk,ole.petter.kjendbakk
mbl,mablake
kms,ksolem
egh,eivhaarr
sfu,seafurey
tbj,tbjonnes
kde,kjedenst
cru,cmckaytian.rudfoss
ste,sigteige
sfm,sahdia.moghal
tgun,terje.gundersen
tof,tforeid
rab,rasmus.bauck
her,haakerik
abasu,anirban.basu
rjacob,rubjacob
zli,zhli3
mwe,marwenne
bis,bschjerv
mbai,martin.baisgarasp
ylu,yuan.lu
you,ying.ou
psc,peter.schwenke
awe,adam.weingarten
abo,andy.borrell
dcl,douglas.clowes
lzh,wliangzh
cmc,cmckay.mckay
cja,chajakob
jbo,jimboon
vhi,vichisc
tty,ttyridal
toty,ttyridal
jhc,jeremycl
ban,bjaanton
saha,naksaha
cas,craastil
edi,elling.diesen
thom,tonnes.homme
rki,ramakish
vde,vishdesh
kni,kanilsen
jlinn,jlinneru
ebu,ebugge
tsn,tommy.nyquist
tve,tvesthei
ivo,ivoniniv
jpri,johann.prieur
sfj,sidre.fjogstad
pcur,paal.currie
fau,fredrik.aubert
tho,lasthore
bam,balmenyh
mza,magne.zacmckayen
aso,audsolva
tmi,thomitte
pil,phiilett
sali,shaukat.ali
hhe,hadi.hemmati
kar,kroyslan
sha,scoharr2
sgp,svepette
evid,erlend.viddal
